,median_transaction_feeUSD,hashrate,sentinusdUSD,difficulty,priceUSD
280,0.0,785844805969.0,256686.0,92348.0,1.546
281,0.0,776700721852.0,174351.0,92348.0,1.716
282,0.0,798319611651.0,156199.0,92348.0,1.595
283,0.0,917416631085.0,300595.0,92348.0,1.6869999999999998
284,0.0,879868976417.0,455633.0,92348.0,1.841
285,0.0,748744606595.0,304350.0,92348.0,2.046
286,0.0,884273438794.0,1976897.0,92348.0,2.546
287,0.0,1026206807592.0,1299476.0,107654.0,3.215
288,0.0,1003543975802.0,530334.0,109670.0,3.267
289,0.0,1048683067221.0,376468.0,109670.0,3.149
290,0.0,1076201219165.0,621172.0,109670.0,3.305
291,0.0,1061836528418.0,962798.0,109670.0,3.4410000000000003
292,0.0,1147637922893.0,535019.0,109670.0,3.367
293,0.0,1162688138744.0,952750.0,109670.0,3.393
294,0.0,1195943718824.0,787158.0,109670.0,3.5460000000000003
295,0.0,1141696039121.0,1989065.0,109670.0,3.753
296,0.0,1365187660990.0,585434.0,115464.0,3.835
297,0.0,1665860814927.0,2730377.0,157416.0,4.81
298,0.0,1461811195698.0,995760.0,157416.0,5.65
299,0.0,1383177431046.0,1225542.0,157416.0,5.895
300,0.0,1478039290661.0,3286748.0,157416.0,7.258999999999999
301,0.0,1821300833892.0,13689104.0,157416.0,7.659
302,0.0,1815660700291.0,2179932.0,157416.0,6.995
303,0.0,1806451438468.0,2089436.0,157416.0,7.512
304,0.0,1986696381247.0,1629470.0,157416.0,7.62
305,0.0,2220723431405.0,1273433.0,162534.0,7.0360000000000005
306,0.0,2574945199348.0,1226660.0,244112.0,6.756
307,0.0,2530697109143.0,2140648.0,244112.0,6.198
308,0.0,2587868140032.0,3897437.0,244112.0,5.96
309,0.0,3010543593471.0,5636673.0,244112.0,6.415
310,0.0,3160308960901.0,3171035.0,244112.0,6.92
311,0.0,3530004408998.0,2581597.0,244112.0,7.285
312,0.0,3680706371310.0,3032890.0,244112.0,7.945
313,0.0,4313159705965.0,3519645.0,277625.0,8.524
314,0.0,4935451648419.0,4612183.0,434877.0,8.6
315,0.0,3567628139704.0,1895286.0,434877.0,8.425
316,0.0,3551605108545.0,2220962.0,434877.0,8.35
317,0.0,3540022661788.0,2321578.0,434877.0,8.624
318,0.0,3332414808971.0,2456521.0,434877.0,8.771
319,0.0,3625982310687.0,2486458.0,434877.0,9.156
320,0.0,4182716592615.0,3573620.0,434877.0,10.1
321,0.0,4314872575382.0,7617910.0,434877.0,12.445
322,0.0,4548966447063.0,7857678.0,434877.0,16.500999999999998
323,0.0,4590930446997.0,9871919.0,434877.0,17.833
324,0.0,5730585104576.0,14583442.0,484311.0,17.625
325,0.0,5188068677725.0,11090241.0,567270.0,21.092
326,0.0,5098091033645.0,21108225.0,567270.0,26.8
327,0.0,5869984648262.0,22691361.0,567270.0,29.415
328,0.0,6278335419797.0,24363281.0,567270.0,26.434
329,0.0,6435643224798.0,28475068.0,567270.0,19.301
330,0.0,6881871955856.0,30440634.0,567270.0,16.648
331,0.0,6531122099038.0,24330665.0,567270.0,19.194000000000006
332,0.0,6649300149936.0,30024966.0,567270.0,19.54
333,0.0,9421314635660.0,81974160.0,688258.0,19.385
334,0.0,9862664591574.0,159897716.0,876954.0,18.25
335,0.0,8087371220168.0,25607242.0,876954.0,16.340999999999998
336,0.0,8292720443800.0,20677450.0,876954.0,16.445
337,0.0,9309409695274.0,78387969.0,876954.0,17.18
338,0.0,10030418730735.0,22644614.0,876954.0,17.0
339,0.0,10419514309512.0,56287097.0,876954.0,17.0
340,0.0,11448868378922.0,22475648.0,876954.0,17.0
341,0.0,10622173967214.0,27588872.0,876954.0,17.0
342,0.0,13215345005805.0,81172503.0,1067619.0,17.0
343,0.0,11138199463564.0,182205819.0,1379192.0,17.0
344,0.0,10410421635431.0,68669907.0,1379192.0,16.98
345,0.0,10760657269895.0,31034243.0,1379192.0,16.6
346,0.0,10767454551335.0,115651739.0,1379192.0,16.85
347,0.0,11688847255806.0,46924978.0,1379192.0,16.9
348,0.0,12325070528083.0,24657812.0,1379192.0,16.473
349,0.00787,12807843572958.0,17453208.0,1379192.0,15.736
350,0.0,11964187810558.0,13331528.0,1379192.0,15.385
351,0.0,11466278274909.0,8793643.0,1379192.0,15.42
352,0.0,11210762764140.0,19849148.0,1379192.0,14.65
353,0.0,10775772742519.0,5459036.0,1379192.0,13.392
354,0.0,10662168002516.0,7880465.0,1406124.0,13.853
355,0.0,11221132284304.0,6862872.0,1563028.0,14.737
356,0.0,11028063858744.0,4432821.0,1563028.0,14.545
357,0.0,12490496917823.0,29780958.0,1563028.0,14.347
358,0.0,11267924453591.0,35501303.0,1563028.0,14.638
359,0.0,11742097437359.0,14649808.0,1563028.0,14.555
360,0.0,11304353554715.0,15060455.0,1563028.0,14.109000000000002
361,0.0,13124988387076.0,19953891.0,1563028.0,13.989
362,0.0,12781755137875.0,26909968.0,1563028.0,13.985
363,0.0,12216713382882.0,8299272.0,1563028.0,13.905
364,0.0,12961941523723.0,17178693.0,1563028.0,13.765
365,0.0,12305918202951.0,7560689.0,1563028.0,13.44
366,0.0,12764521445152.0,43976602.0,1563028.0,13.32
367,0.0,13112859757726.0,37354755.0,1583739.0,13.66
368,0.0,11750116378809.0,7489315.0,1690896.0,13.787
369,0.0,12876003147290.0,18211363.0,1690896.0,13.665
370,0.00683,12579647196833.0,21182250.0,1690896.0,13.653
371,0.0,12559540476431.0,8269036.0,1690896.0,13.69
372,0.0,13458387509540.0,7492789.0,1690896.0,13.835
373,0.0,13847003949305.0,20092487.0,1690896.0,14.014
374,0.0,13954221716778.0,16463728.0,1690896.0,13.956
375,0.0,15390522857698.0,17639034.0,1690896.0,13.911
376,0.0,14127271580935.0,46445856.0,1690896.0,13.691
377,0.0,13364855810650.0,9304835.0,1690896.0,13.494000000000002
378,0.0,12861765935409.0,4387447.0,1690896.0,13.515999999999998
379,0.0,14075327888368.0,7989028.0,1690896.0,13.443
380,0.0,15842096310146.0,7150940.0,1807232.0,13.222
381,0.0,14559433135005.0,4998234.0,1888787.0,12.573
382,0.0,14556485152450.0,4347151.0,1888787.0,10.655
383,0.0,13489450936027.0,3193867.0,1888787.0,10.019
384,0.0,12479620989213.0,5065110.0,1888787.0,10.255
385,0.0,12407099211495.0,3090010.0,1888787.0,8.145
386,0.0,11789900101244.0,2630538.0,1888787.0,7.218
387,0.0,12215255728619.0,8146893.0,1888787.0,7.85
388,0.0,12971177629146.0,22065988.0,1888787.0,8.895
389,0.0,14984491281517.0,11376503.0,1888787.0,9.975
390,0.0,13031284178764.0,4734323.0,1888787.0,9.775
391,0.0,12454646185787.0,3203756.0,1888787.0,9.462
392,0.0,12861360670046.0,2980133.0,1888787.0,9.801
393,0.0,11591604512483.0,4692439.0,1888787.0,10.463
394,0.00549,13031539502539.0,3659097.0,1887499.0,10.970999999999998
395,0.005529999999999999,11874818672025.0,3992105.0,1805701.0,11.059
396,0.0,12568540206567.0,3532456.0,1805701.0,10.934
397,0.0,13300595123979.0,4364668.0,1805701.0,10.904000000000002
398,0.0,12387710461318.0,6250719.0,1805701.0,11.24
399,0.0,12637653163869.0,2595435.0,1805701.0,11.555
400,0.0,13413601148897.0,2764698.0,1805701.0,11.382
401,0.0,15660778130177.0,3033828.0,1805701.0,11.103
402,0.0,15028708295412.0,4803739.0,1805701.0,10.925
403,0.0,12857305688506.0,6098021.0,1805701.0,10.895
404,0.0,11934733395416.0,3831076.0,1805701.0,10.254
405,0.0,13187988684353.0,2476199.0,1805701.0,8.918
406,0.0,11688276958138.0,22685023.0,1805701.0,8.385
407,0.0,10613157337988.0,1619840.0,1805701.0,8.831
408,0.0,11360922372518.0,2139311.0,1805701.0,9.02
